trade_id,symbol,timestamp,entry_score,entry_price,pnl_usd,pnl_pct,hold_minutes,source
UNH_2026-02-19T16:27:00+00:00,UNH,2026-02-19T16:27:00+00:00,2.36,287.71,2.61,0.0261,5,simulation
UNH_2026-02-19T16:28:00+00:00,UNH,2026-02-19T16:28:00+00:00,2.36,287.46,8.7,0.087,5,simulation
UNH_2026-02-19T16:29:00+00:00,UNH,2026-02-19T16:29:00+00:00,2.36,287.38,21.57,0.2157,5,simulation
UNH_2026-02-19T16:30:00+00:00,UNH,2026-02-19T16:30:00+00:00,2.36,287.65,8.52,0.0852,5,simulation
UNH_2026-02-19T16:31:00+00:00,UNH,2026-02-19T16:31:00+00:00,2.36,287.86,0.69,0.0069,5,simulation
UNH_2026-02-19T16:32:00+00:00,UNH,2026-02-19T16:32:00+00:00,2.36,287.785,6.78,0.0678,5,simulation
UNH_2026-02-19T16:33:00+00:00,UNH,2026-02-19T16:33:00+00:00,2.36,287.71,13.9,0.139,5,simulation
UNH_2026-02-19T16:34:00+00:00,UNH,2026-02-19T16:34:00+00:00,2.36,288.0,0.35,0.0035,5,simulation
UNH_2026-02-19T16:35:00+00:00,UNH,2026-02-19T16:35:00+00:00,2.36,287.895,-2.08,-0.0208,5,simulation
UNH_2026-02-19T16:36:00+00:00,UNH,2026-02-19T16:36:00+00:00,2.36,287.88,-0.69,-0.0069,5,simulation
UNH_2026-02-19T16:37:00+00:00,UNH,2026-02-19T16:37:00+00:00,2.36,287.98,-7.52,-0.0752,5,simulation
UNH_2026-02-19T16:38:00+00:00,UNH,2026-02-19T16:38:00+00:00,2.36,288.11,-21.35,-0.2135,5,simulation
UNH_2026-02-19T16:39:00+00:00,UNH,2026-02-19T16:39:00+00:00,2.36,288.01,-20.83,-0.2083,5,simulation
UNH_2026-02-19T16:40:00+00:00,UNH,2026-02-19T16:40:00+00:00,2.36,287.835,-16.5,-0.165,5,simulation
UNH_2026-02-19T16:41:00+00:00,UNH,2026-02-19T16:41:00+00:00,2.36,287.86,-13.37,-0.1337,5,simulation
UNH_2026-02-19T16:42:00+00:00,UNH,2026-02-19T16:42:00+00:00,2.36,287.7634,-11.41,-0.1141,5,simulation
UNH_2026-02-19T16:43:00+00:00,UNH,2026-02-19T16:43:00+00:00,2.36,287.495,-7.48,-0.0748,5,simulation
UNH_2026-02-19T16:44:00+00:00,UNH,2026-02-19T16:44:00+00:00,2.36,287.41,-6.09,-0.0609,5,simulation
UNH_2026-02-19T16:45:00+00:00,UNH,2026-02-19T16:45:00+00:00,2.36,287.36,6.26,0.0626,5,simulation
UNH_2026-02-19T16:46:00+00:00,UNH,2026-02-19T16:46:00+00:00,2.36,287.475,-0.87,-0.0087,5,simulation
UNH_2026-02-19T16:47:00+00:00,UNH,2026-02-19T16:47:00+00:00,2.36,287.435,-0.52,-0.0052,5,simulation
UNH_2026-02-19T16:48:00+00:00,UNH,2026-02-19T16:48:00+00:00,2.36,287.28,6.91,0.0691,5,simulation
UNH_2026-02-19T16:49:00+00:00,UNH,2026-02-19T16:49:00+00:00,2.359,287.235,17.58,0.1758,5,simulation
UNH_2026-02-19T16:50:00+00:00,UNH,2026-02-19T16:50:00+00:00,2.359,287.54,12.17,0.1217,5,simulation
UNH_2026-02-19T16:51:00+00:00,UNH,2026-02-19T16:51:00+00:00,2.359,287.45,8.0,0.08,5,simulation
UNH_2026-02-19T16:52:00+00:00,UNH,2026-02-19T16:52:00+00:00,2.359,287.42,19.48,0.1948,5,simulation
UNH_2026-02-19T16:53:00+00:00,UNH,2026-02-19T16:53:00+00:00,2.359,287.4785,21.62,0.2162,5,simulation
UNH_2026-02-19T16:54:00+00:00,UNH,2026-02-19T16:54:00+00:00,2.359,287.74,6.95,0.0695,5,simulation
UNH_2026-02-19T16:55:00+00:00,UNH,2026-02-19T16:55:00+00:00,2.359,287.89,3.78,0.0378,5,simulation
UNH_2026-02-19T16:56:00+00:00,UNH,2026-02-19T16:56:00+00:00,2.359,287.68,6.6,0.066,5,simulation
UNH_2026-02-19T16:57:00+00:00,UNH,2026-02-19T16:57:00+00:00,2.359,287.98,-3.82,-0.0382,5,simulation
UNH_2026-02-19T16:58:00+00:00,UNH,2026-02-19T16:58:00+00:00,2.359,288.1,-7.98,-0.0798,5,simulation
